<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
19991222000000,1.0084,1.0113,1.0057,1.0097,0.0
19991223000000,1.0095,1.0183,1.0071,1.0162,0.0
19991224000000,1.0152,1.0172,1.0114,1.0131,0.0
19991227000000,1.0126,1.016,1.0111,1.0128,0.0
19991228000000,1.0129,1.0141,1.003,1.0071,0.0
19991229000000,1.0071,1.0109,1.0033,1.0046,0.0
19991230000000,1.004,1.0086,1.0012,1.0082,0.0
19991231000000,1.0088,1.01,1.0045,1.0075,0.0
20000103000000,1.0052,1.0282,1.005,1.0265,0.0
20000104000000,1.0244,1.0347,1.0213,1.0312,0.0
20000105000000,1.0295,1.0404,1.0282,1.0316,0.0
20000106000000,1.0325,1.0419,1.0275,1.0324,0.0
20000107000000,1.0327,1.0333,1.0252,1.0292,0.0
20000110000000,1.0288,1.0303,1.0213,1.0257,0.0
20000111000000,1.0259,1.0342,1.0241,1.0335,0.0
20000112000000,1.0322,1.037,1.0258,1.0312,0.0
20000113000000,1.0311,1.032,1.0237,1.0254,0.0
20000114000000,1.0261,1.0273,1.0111,1.0128,0.0
20000117000000,1.0128,1.0149,1.0069,1.0118,0.0
20000118000000,1.0123,1.0143,1.0072,1.0131,0.0
20000119000000,1.0139,1.0166,1.0086,1.0122,0.0
20000120000000,1.0137,1.0189,1.0072,1.0175,0.0
20000121000000,1.0173,1.0193,1.0049,1.0091,0.0
20000124000000,1.0023,1.0078,0.9998,1.0078,0.0
20000125000000,1.0076,1.0099,0.9989,1.0006,0.0
20000126000000,1.0013,1.0057,0.9993,1.0012,0.0
20000127000000,1.0019,1.003,0.9869,0.9885,0.0
20000128000000,0.988,0.9895,0.9738,0.975,0.0
20000131000000,0.9779,0.9829,0.967,0.9695,0.0
20000201000000,0.9704,0.9783,0.9663,0.9724,0.0
20000202000000,0.9717,0.9808,0.9689,0.9765,0.0
20000203000000,0.9763,0.9949,0.9709,0.9903,0.0
20000204000000,0.9909,0.9941,0.9748,0.9828,0.0
20000207000000,0.9836,0.9836,0.9754,0.981,0.0
20000208000000,0.9814,0.9916,0.9788,0.9858,0.0
20000209000000,0.9857,0.9966,0.9851,0.994,0.0
20000210000000,0.9942,0.996,0.983,0.9852,0.0
20000211000000,0.9854,0.9879,0.9789,0.9869,0.0
20000214000000,0.9863,0.9922,0.9775,0.9787,0.0
20000215000000,0.9781,0.9863,0.9764,0.9814,0.0
20000216000000,0.9811,0.9876,0.979,0.9868,0.0
20000217000000,0.9865,0.9959,0.9838,0.9879,0.0
20000218000000,0.988,0.9903,0.9807,0.9865,0.0
20000221000000,0.9848,0.989,0.9843,0.9874,0.0
20000222000000,0.9875,1.008,0.9872,1.004,0.0
20000223000000,1.0039,1.0091,1.0009,1.003,0.0
20000224000000,1.0036,1.0042,0.9889,0.9931,0.0
20000225000000,0.9929,0.9929,0.9723,0.9745,0.0
20000228000000,0.9748,0.9748,0.9392,0.9719,0.0
20000229000000,0.9717,0.9865,0.9616,0.9647,0.0
20000301000000,0.9647,0.977,0.9627,0.9738,0.0
20000302000000,0.9734,0.9796,0.9614,0.9644,0.0
20000303000000,0.9647,0.9679,0.9587,0.9599,0.0
20000306000000,0.9576,0.9672,0.9557,0.9594,0.0
20000307000000,0.959,0.9627,0.9526,0.9598,0.0
20000308000000,0.9584,0.9634,0.9523,0.9608,0.0
20000309000000,0.9607,0.9702,0.9595,0.9664,0.0
20000310000000,0.9667,0.9687,0.9597,0.963,0.0
20000313000000,0.9627,0.973,0.9617,0.9647,0.0
20000314000000,0.9637,0.9684,0.9595,0.9683,0.0
20000315000000,0.9685,0.9714,0.964,0.9675,0.0
20000316000000,0.9662,0.9741,0.9646,0.9715,0.0
20000317000000,0.9699,0.973,0.9659,0.9724,0.0
20000320000000,0.9728,0.9748,0.9684,0.9732,0.0
20000321000000,0.9733,0.9738,0.9633,0.9641,0.0
20000322000000,0.9615,0.9632,0.9576,0.9612,0.0
20000323000000,0.9607,0.9729,0.9601,0.9718,0.0
20000324000000,0.9716,0.9778,0.9671,0.9771,0.0
20000327000000,0.9771,0.979,0.9632,0.9667,0.0
20000328000000,0.9672,0.9703,0.9601,0.9607,0.0
20000329000000,0.9603,0.9605,0.9478,0.9516,0.0
20000330000000,0.951,0.9623,0.9507,0.9611,0.0
20000331000000,0.9612,0.9628,0.9526,0.9562,0.0
20000403000000,0.9563,0.9606,0.9503,0.955,0.0
20000404000000,0.9538,0.9752,0.9513,0.9604,0.0
20000405000000,0.9614,0.9712,0.9592,0.9623,0.0
20000406000000,0.9604,0.9645,0.9565,0.9579,0.0
20000407000000,0.9583,0.9617,0.9536,0.9549,0.0
20000410000000,0.9546,0.9629,0.9532,0.9627,0.0
20000411000000,0.9625,0.9649,0.9563,0.9591,0.0
20000412000000,0.9587,0.9602,0.952,0.9588,0.0
20000413000000,0.9589,0.9596,0.9514,0.9525,0.0
20000414000000,0.9528,0.9625,0.9509,0.9623,0.0
20000417000000,0.9644,0.9673,0.9517,0.9524,0.0
20000418000000,0.9523,0.9526,0.944,0.9459,0.0
20000419000000,0.9452,0.949,0.9354,0.9405,0.0
20000420000000,0.9403,0.9425,0.9348,0.9379,0.0
20000421000000,0.9381,0.9398,0.9362,0.9383,0.0
20000424000000,0.9383,0.9451,0.9367,0.9385,0.0
20000425000000,0.9389,0.9397,0.9162,0.921,0.0
20000426000000,0.9211,0.9253,0.9174,0.9238,0.0
20000427000000,0.9242,0.9252,0.9061,0.91,0.0
20000428000000,0.9103,0.9143,0.9029,0.9123,0.0
20000501000000,0.9121,0.9174,0.9071,0.916,0.0
20000502000000,0.9153,0.9178,0.9033,0.9101,0.0
20000503000000,0.91,0.9109,0.8883,0.8958,0.0
20000504000000,0.8956,0.8975,0.8846,0.8909,0.0
20000505000000,0.891,0.9013,0.8901,0.8969,0.0
20000508000000,0.8964,0.9047,0.8914,0.8975,0.0
20000509000000,0.897,0.9081,0.8944,0.9076,0.0
20000510000000,0.9089,0.9129,0.9047,0.9067,0.0
20000511000000,0.9037,0.9111,0.899,0.9016,0.0
20000512000000,0.9014,0.9201,0.8977,0.9199,0.0
20000515000000,0.9177,0.9194,0.9111,0.9117,0.0
20000516000000,0.9072,0.9108,0.8994,0.9004,0.0
20000517000000,0.9006,0.9032,0.8888,0.8953,0.0
20000518000000,0.8951,0.8975,0.8902,0.8946,0.0
20000519000000,0.8949,0.8999,0.8845,0.8974,0.0
20000522000000,0.8975,0.9073,0.8953,0.9029,0.0
20000523000000,0.9026,0.9158,0.9019,0.9077,0.0
20000524000000,0.907,0.9129,0.9026,0.9032,0.0
20000525000000,0.9032,0.9138,0.8977,0.9127,0.0
20000526000000,0.9129,0.9344,0.911,0.9312,0.0
20000529000000,0.9324,0.9335,0.9235,0.9266,0.0
20000530000000,0.927,0.9412,0.9238,0.93,0.0
20000531000000,0.9292,0.9384,0.9257,0.9379,0.0
20000601000000,0.9371,0.938,0.9283,0.9315,0.0
20000602000000,0.9314,0.9506,0.9294,0.9465,0.0
20000605000000,0.9464,0.9494,0.9411,0.948,0.0
20000606000000,0.9466,0.9603,0.9449,0.9546,0.0
20000607000000,0.9543,0.9635,0.9533,0.962,0.0
20000608000000,0.9624,0.9704,0.9507,0.9562,0.0
20000609000000,0.9546,0.9571,0.9459,0.9532,0.0
20000612000000,0.9526,0.9563,0.9489,0.9535,0.0
20000613000000,0.9537,0.9651,0.952,0.9592,0.0
20000614000000,0.9587,0.9657,0.9567,0.958,0.0
20000615000000,0.9573,0.9606,0.95,0.9544,0.0
