<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
19990720000000,1.5801,1.5823,1.5674,1.5725,0.0
19990721000000,1.571,1.5806,1.5692,1.5787,0.0
19990722000000,1.5784,1.588,1.5735,1.582,0.0
19990723000000,1.582,1.5861,1.575,1.5785,0.0
19990726000000,1.579,1.5947,1.579,1.5905,0.0
19990727000000,1.59,1.5947,1.587,1.5907,0.0
19990728000000,1.5904,1.5987,1.5838,1.597,0.0
19990729000000,1.597,1.6215,1.5955,1.6178,0.0
19990730000000,1.6163,1.6255,1.612,1.6215,0.0
19990802000000,1.6203,1.6211,1.6125,1.616,0.0
19990803000000,1.6161,1.6243,1.613,1.6201,0.0
19990804000000,1.62,1.6292,1.6174,1.62,0.0
19990805000000,1.6198,1.6218,1.6118,1.6134,0.0
19990806000000,1.613,1.62,1.6073,1.6084,0.0
19990809000000,1.6085,1.6105,1.6005,1.6072,0.0
19990810000000,1.6065,1.6195,1.6041,1.615,0.0
19990811000000,1.6145,1.6178,1.6082,1.6133,0.0
19990812000000,1.6114,1.613,1.6058,1.6111,0.0
19990813000000,1.6109,1.6157,1.6038,1.6045,0.0
19990816000000,1.6053,1.6107,1.5985,1.6012,0.0
19990817000000,1.6015,1.605,1.5952,1.6033,0.0
19990818000000,1.6044,1.6091,1.5996,1.6015,0.0
19990819000000,1.6027,1.6201,1.5972,1.6175,0.0
19990820000000,1.6157,1.6222,1.6124,1.6145,0.0
19990823000000,1.6145,1.6183,1.6,1.6008,0.0
19990824000000,1.6011,1.6035,1.588,1.5947,0.0
19990825000000,1.5941,1.5952,1.5833,1.585,0.0
19990826000000,1.5857,1.593,1.5848,1.587,0.0
19990827000000,1.5885,1.5912,1.584,1.588,0.0
19990830000000,1.5885,1.5917,1.5854,1.5903,0.0
19990831000000,1.5912,1.6119,1.59,1.6037,0.0
19990901000000,1.6031,1.6125,1.6018,1.6038,0.0
19990902000000,1.6038,1.6133,1.598,1.6078,0.0
19990903000000,1.6068,1.6162,1.6012,1.603,0.0
19990906000000,1.6015,1.6077,1.6004,1.6071,0.0
19990907000000,1.6058,1.6093,1.599,1.6037,0.0
19990908000000,1.6045,1.6263,1.6039,1.6193,0.0
19990909000000,1.6198,1.6379,1.6188,1.635,0.0
19990910000000,1.6337,1.6343,1.6152,1.6187,0.0
19990913000000,1.6195,1.6233,1.606,1.6079,0.0
19990914000000,1.6069,1.611,1.5978,1.608,0.0
19990915000000,1.6071,1.6159,1.5988,1.6138,0.0
19990916000000,1.6132,1.6267,1.612,1.6233,0.0
19990917000000,1.623,1.6265,1.6152,1.6235,0.0
19990920000000,1.623,1.6259,1.6195,1.6221,0.0
19990921000000,1.622,1.6342,1.6207,1.6325,0.0
19990922000000,1.6325,1.642,1.6265,1.6292,0.0
19990923000000,1.6285,1.6465,1.6285,1.6454,0.0
19990924000000,1.6448,1.6471,1.6386,1.6433,0.0
19990927000000,1.6401,1.6502,1.639,1.6464,0.0
19990928000000,1.6456,1.6516,1.6433,1.6485,0.0
19990929000000,1.6468,1.6492,1.639,1.6443,0.0
19990930000000,1.6435,1.6489,1.6428,1.6476,0.0
19991001000000,1.6466,1.6569,1.6461,1.6543,0.0
19991004000000,1.655,1.6604,1.6525,1.6548,0.0
19991005000000,1.6542,1.6583,1.649,1.656,0.0
19991006000000,1.6547,1.6593,1.6525,1.6563,0.0
19991007000000,1.6559,1.6566,1.6482,1.6516,0.0
19991008000000,1.6512,1.6565,1.6468,1.6525,0.0
19991011000000,1.6505,1.6586,1.6492,1.653,0.0
19991012000000,1.6523,1.659,1.6502,1.6574,0.0
19991013000000,1.6576,1.6598,1.6515,1.6551,0.0
19991014000000,1.6548,1.6667,1.652,1.6625,0.0
19991015000000,1.6628,1.673,1.6607,1.6689,0.0
19991018000000,1.6682,1.6732,1.6665,1.6692,0.0
19991019000000,1.6683,1.675,1.6645,1.6726,0.0
19991020000000,1.6716,1.6738,1.6612,1.6641,0.0
19991021000000,1.664,1.6795,1.6635,1.675,0.0
19991022000000,1.6747,1.6798,1.6526,1.6548,0.0
19991025000000,1.6562,1.665,1.6542,1.6624,0.0
19991026000000,1.6628,1.6648,1.6486,1.6525,0.0
19991027000000,1.6517,1.6587,1.6418,1.6481,0.0
19991028000000,1.6482,1.649,1.6344,1.6394,0.0
19991029000000,1.639,1.646,1.6324,1.6435,0.0
19991101000000,1.6435,1.6499,1.6375,1.6423,0.0
19991102000000,1.6423,1.6497,1.6398,1.6453,0.0
19991103000000,1.6457,1.652,1.642,1.643,0.0
19991104000000,1.6432,1.6475,1.6205,1.6225,0.0
19991105000000,1.622,1.6282,1.6142,1.6194,0.0
19991108000000,1.623,1.6251,1.6134,1.6192,0.0
19991109000000,1.6193,1.6256,1.6176,1.6237,0.0
19991110000000,1.6232,1.6292,1.6188,1.6292,0.0
19991111000000,1.6283,1.6293,1.6198,1.6225,0.0
19991112000000,1.6216,1.6225,1.61,1.6158,0.0
19991115000000,1.6147,1.6241,1.6132,1.622,0.0
19991116000000,1.6204,1.6245,1.6146,1.6167,0.0
19991117000000,1.6162,1.6282,1.6153,1.6253,0.0
19991118000000,1.624,1.6292,1.6123,1.6154,0.0
19991119000000,1.6143,1.6222,1.6118,1.6205,0.0
19991122000000,1.6194,1.6239,1.6172,1.6204,0.0
19991123000000,1.6198,1.6282,1.6182,1.6252,0.0
19991124000000,1.6244,1.6279,1.6044,1.6095,0.0
19991125000000,1.6081,1.6185,1.607,1.6128,0.0
19991126000000,1.6119,1.6171,1.6017,1.6067,0.0
19991129000000,1.6054,1.6085,1.5983,1.6068,0.0
19991130000000,1.606,1.6068,1.5908,1.5988,0.0
19991201000000,1.5981,1.6047,1.5946,1.6007,0.0
19991202000000,1.6002,1.6034,1.5959,1.5998,0.0
19991203000000,1.5998,1.6034,1.5972,1.6004,0.0
19991206000000,1.6015,1.6252,1.5989,1.6203,0.0
19991207000000,1.6196,1.63,1.617,1.6248,0.0
19991208000000,1.6239,1.6314,1.6219,1.6275,0.0
19991209000000,1.6274,1.6291,1.6182,1.6239,0.0
19991210000000,1.6237,1.6267,1.6193,1.6208,0.0
19991213000000,1.6216,1.6261,1.6198,1.6242,0.0
19991214000000,1.6242,1.6261,1.6097,1.6114,0.0
19991215000000,1.6107,1.6141,1.6019,1.6062,0.0
19991216000000,1.6053,1.6199,1.6052,1.6106,0.0
19991217000000,1.6112,1.6191,1.602,1.6041,0.0
19991220000000,1.6044,1.6114,1.6011,1.6072,0.0
19991221000000,1.6092,1.614,1.6048,1.612,0.0
19991222000000,1.6123,1.6161,1.6048,1.6085,0.0
19991223000000,1.6081,1.6188,1.606,1.6165,0.0
19991224000000,1.6152,1.6231,1.613,1.6151,0.0
19991227000000,1.6145,1.619,1.611,1.6172,0.0
19991228000000,1.6165,1.6204,1.6138,1.6148,0.0
19991229000000,1.6154,1.6208,1.6139,1.6175,0.0
19991230000000,1.6163,1.621,1.611,1.6157,0.0
19991231000000,1.6148,1.6191,1.612,1.6181,0.0
20000103000000,1.614,1.6397,1.614,1.637,0.0
20000104000000,1.6358,1.6415,1.631,1.637,0.0
20000105000000,1.635,1.6452,1.6349,1.642,0.0
20000106000000,1.6417,1.6513,1.6408,1.6468,0.0
20000107000000,1.6465,1.65,1.6358,1.6387,0.0
20000110000000,1.6385,1.6397,1.6322,1.637,0.0
20000111000000,1.6365,1.6499,1.6355,1.6485,0.0
20000112000000,1.6464,1.6514,1.6448,1.6478,0.0
20000113000000,1.6464,1.6503,1.6406,1.6467,0.0
20000114000000,1.6476,1.648,1.6325,1.634,0.0
20000117000000,1.6346,1.639,1.6292,1.6332,0.0
20000118000000,1.6331,1.6391,1.6312,1.637,0.0
20000119000000,1.6373,1.6454,1.6358,1.644,0.0
20000120000000,1.6446,1.6573,1.6414,1.6545,0.0
20000121000000,1.654,1.6583,1.6475,1.6494,0.0
20000124000000,1.6463,1.656,1.6456,1.6515,0.0
20000125000000,1.6524,1.6541,1.6428,1.6445,0.0
20000126000000,1.645,1.6472,1.6352,1.6385,0.0
20000127000000,1.6388,1.6408,1.6336,1.639,0.0
20000128000000,1.639,1.6395,1.6158,1.6191,0.0
20000131000000,1.6228,1.6263,1.6117,1.6158,0.0
20000201000000,1.6156,1.6179,1.6094,1.6143,0.0
20000202000000,1.6149,1.6155,1.602,1.6086,0.0
20000203000000,1.6083,1.6095,1.5934,1.5979,0.0
20000204000000,1.5973,1.6024,1.5828,1.5923,0.0
20000207000000,1.5905,1.5994,1.588,1.5982,0.0
20000208000000,1.5975,1.6141,1.5966,1.6118,0.0
20000209000000,1.611,1.6174,1.6056,1.6166,0.0
20000210000000,1.6164,1.6174,1.6043,1.6093,0.0
20000211000000,1.6095,1.6107,1.5872,1.5925,0.0
20000214000000,1.5928,1.5971,1.5852,1.587,0.0
20000215000000,1.5863,1.5983,1.5834,1.5968,0.0
20000216000000,1.5963,1.6089,1.5938,1.6087,0.0
20000217000000,1.6077,1.6141,1.6022,1.6085,0.0
20000218000000,1.6085,1.6094,1.5948,1.6017,0.0
20000221000000,1.599,1.6022,1.5965,1.5999,0.0
20000222000000,1.5998,1.6196,1.5995,1.6127,0.0
20000223000000,1.6121,1.6153,1.601,1.6038,0.0
20000224000000,1.6038,1.6051,1.5967,1.6006,0.0
