<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20120921000000,12.37,12.37,12.37,12.37,0.0
20120922000000,12.24,12.24,12.24,12.24,0.0
20120923000000,12.19,12.19,12.19,12.19,0.0
20120924000000,12.1,12.1,12.1,12.1,0.0
20120925000000,12.2,12.2,12.2,12.2,0.0
20120926000000,12.27,12.27,12.27,12.27,0.0
20120927000000,12.31,12.31,12.31,12.31,0.0
20120928000000,12.39,12.39,12.39,12.39,0.0
20120929000000,12.36,12.36,12.36,12.36,0.0
20120930000000,12.4,12.4,12.4,12.4,0.0
20121001000000,12.4,12.4,12.4,12.4,0.0
20121002000000,12.84,12.84,12.84,12.84,0.0
20121003000000,12.89,12.89,12.89,12.89,0.0
20121004000000,12.85,12.85,12.85,12.85,0.0
20121005000000,12.69,12.69,12.69,12.69,0.0
20121006000000,12.5,12.5,12.5,12.5,0.0
20121007000000,11.8,11.8,11.8,11.8,0.0
20121008000000,11.78,11.78,11.78,11.78,0.0
20121009000000,11.89,11.89,11.89,11.89,0.0
20121010000000,12.12,12.12,12.12,12.12,0.0
20121011000000,12.03,12.03,12.03,12.03,0.0
20121012000000,12.0,12.0,12.0,12.0,0.0
20121013000000,11.86,11.86,11.86,11.86,0.0
20121014000000,11.74,11.74,11.74,11.74,0.0
20121015000000,11.84,11.84,11.84,11.84,0.0
20121016000000,11.85,11.85,11.85,11.85,0.0
20121017000000,11.81,11.81,11.81,11.81,0.0
20121018000000,11.94,11.94,11.94,11.94,0.0
20121019000000,11.74,11.74,11.74,11.74,0.0
20121020000000,11.74,11.74,11.74,11.74,0.0
20121021000000,11.63,11.63,11.63,11.63,0.0
20121022000000,11.71,11.71,11.71,11.71,0.0
20121023000000,11.65,11.65,11.65,11.65,0.0
20121024000000,11.65,11.65,11.65,11.65,0.0
20121025000000,10.86,10.86,10.86,10.86,0.0
20121026000000,10.17,10.17,10.17,10.17,0.0
20121027000000,10.26,10.26,10.26,10.26,0.0
20121028000000,10.7,10.7,10.7,10.7,0.0
20121029000000,10.6,10.6,10.6,10.6,0.0
20121030000000,10.89,10.89,10.89,10.89,0.0
20121031000000,11.2,11.2,11.2,11.2,0.0
20121101000000,10.57,10.57,10.57,10.57,0.0
20121102000000,10.47,10.47,10.47,10.47,0.0
20121103000000,10.64,10.64,10.64,10.64,0.0
20121104000000,10.8,10.8,10.8,10.8,0.0
20121105000000,10.75,10.75,10.75,10.75,0.0
20121106000000,10.9,10.9,10.9,10.9,0.0
20121107000000,10.92,10.92,10.92,10.92,0.0
20121108000000,10.92,10.92,10.92,10.92,0.0
20121109000000,10.81,10.81,10.81,10.81,0.0
20121110000000,10.89,10.89,10.89,10.89,0.0
20121111000000,10.87,10.87,10.87,10.87,0.0
20121112000000,11.01,11.01,11.01,11.01,0.0
20121113000000,10.95,10.95,10.95,10.95,0.0
20121114000000,10.95,10.95,10.95,10.95,0.0
20121115000000,11.2,11.2,11.2,11.2,0.0
20121116000000,11.75,11.75,11.75,11.75,0.0
20121117000000,11.79,11.79,11.79,11.79,0.0
20121118000000,11.65,11.65,11.65,11.65,0.0
20121119000000,11.8,11.8,11.8,11.8,0.0
20121120000000,11.73,11.73,11.73,11.73,0.0
20121121000000,11.77,11.77,11.77,11.77,0.0
20121122000000,12.42,12.42,12.42,12.42,0.0
20121123000000,12.34,12.34,12.34,12.34,0.0
20121124000000,12.41,12.41,12.41,12.41,0.0
20121125000000,12.48,12.48,12.48,12.48,0.0
20121126000000,12.25,12.25,12.25,12.25,0.0
20121127000000,12.2,12.2,12.2,12.2,0.0
20121128000000,12.35,12.35,12.35,12.35,0.0
20121129000000,12.45,12.45,12.45,12.45,0.0
20121130000000,12.56,12.56,12.56,12.56,0.0
20121201000000,12.56,12.56,12.56,12.56,0.0
20121202000000,12.5,12.5,12.5,12.5,0.0
20121203000000,12.68,12.68,12.68,12.68,0.0
20121204000000,13.41,13.41,13.41,13.41,0.0
20121205000000,13.38,13.38,13.38,13.38,0.0
20121206000000,13.3,13.3,13.3,13.3,0.0
20121207000000,13.5,13.5,13.5,13.5,0.0
20121208000000,13.42,13.42,13.42,13.42,0.0
20121209000000,13.39,13.39,13.39,13.39,0.0
20121210000000,13.43,13.43,13.43,13.43,0.0
20121211000000,13.56,13.56,13.56,13.56,0.0
20121212000000,13.7,13.7,13.7,13.7,0.0
20121213000000,13.7,13.7,13.7,13.7,0.0
20121214000000,13.6,13.6,13.6,13.6,0.0
20121215000000,13.49,13.49,13.49,13.49,0.0
20121216000000,13.3,13.3,13.3,13.3,0.0
20121217000000,13.25,13.25,13.25,13.25,0.0
20121218000000,13.3,13.3,13.3,13.3,0.0
20121219000000,13.6,13.6,13.6,13.6,0.0
20121220000000,13.52,13.52,13.52,13.52,0.0
20121221000000,13.5,13.5,13.5,13.5,0.0
20121222000000,13.37,13.37,13.37,13.37,0.0
20121223000000,13.31,13.31,13.31,13.31,0.0
20121224000000,13.38,13.38,13.38,13.38,0.0
20121225000000,13.35,13.35,13.35,13.35,0.0
20121226000000,13.47,13.47,13.47,13.47,0.0
20121227000000,13.42,13.42,13.42,13.42,0.0
20121228000000,13.42,13.42,13.42,13.42,0.0
20121229000000,13.4,13.4,13.4,13.4,0.0
20121230000000,13.45,13.45,13.45,13.45,0.0
20121231000000,13.51,13.51,13.51,13.51,0.0
20130101000000,13.3,13.3,13.3,13.3,0.0
20130102000000,13.28,13.28,13.28,13.28,0.0
20130103000000,13.4,13.4,13.4,13.4,0.0
20130104000000,13.5,13.5,13.5,13.5,0.0
20130105000000,13.44,13.44,13.44,13.44,0.0
20130106000000,13.45,13.45,13.45,13.45,0.0
20130107000000,13.59,13.59,13.59,13.59,0.0
20130108000000,13.74,13.74,13.74,13.74,0.0
20130109000000,13.77,13.77,13.77,13.77,0.0
20130110000000,14.14,14.14,14.14,14.14,0.0
20130111000000,14.14,14.14,14.14,14.14,0.0
20130112000000,14.24,14.24,14.24,14.24,0.0
20130113000000,14.12,14.12,14.12,14.12,0.0
20130114000000,14.3,14.3,14.3,14.3,0.0
20130115000000,14.25,14.25,14.25,14.25,0.0
20130116000000,14.73,14.73,14.73,14.73,0.0
20130117000000,15.5,15.5,15.5,15.5,0.0
20130118000000,15.7,15.7,15.7,15.7,0.0
20130119000000,15.61,15.61,15.61,15.61,0.0
20130120000000,15.7,15.7,15.7,15.7,0.0
20130121000000,16.8,16.8,16.8,16.8,0.0
20130122000000,17.26,17.26,17.26,17.26,0.0
20130123000000,17.5,17.5,17.5,17.5,0.0
20130124000000,16.9,16.9,16.9,16.9,0.0
20130125000000,17.4,17.4,17.4,17.4,0.0
20130126000000,17.88,17.88,17.88,17.88,0.0
20130127000000,17.82,17.82,17.82,17.82,0.0
20130128000000,18.72,18.72,18.72,18.72,0.0
20130129000000,19.53,19.53,19.53,19.53,0.0
20130130000000,19.7,19.7,19.7,19.7,0.0
20130131000000,20.41,20.41,20.41,20.41,0.0
20130201000000,20.5,20.5,20.5,20.5,0.0
20130202000000,19.63,19.63,19.63,19.63,0.0
20130203000000,20.59,20.59,20.59,20.59,0.0
20130204000000,20.43,20.43,20.43,20.43,0.0
20130205000000,20.6,20.6,20.6,20.6,0.0
20130206000000,21.18,21.18,21.18,21.18,0.0
20130207000000,22.15,22.15,22.15,22.15,0.0
20130208000000,22.66,22.66,22.66,22.66,0.0
20130209000000,23.65,23.65,23.65,23.65,0.0
20130210000000,23.97,23.97,23.97,23.97,0.0
20130211000000,24.65,24.65,24.65,24.65,0.0
20130212000000,25.17,25.17,25.17,25.17,0.0
20130213000000,24.2,24.2,24.2,24.2,0.0
20130214000000,27.22,27.22,27.22,27.22,0.0
20130215000000,27.1,27.1,27.1,27.1,0.0
20130216000000,27.22,27.22,27.22,27.22,0.0
20130217000000,26.81,26.81,26.81,26.81,0.0
20130218000000,26.95,26.95,26.95,26.95,0.0
20130219000000,29.42,29.42,29.42,29.42,0.0
20130220000000,29.64,29.64,29.64,29.64,0.0
20130221000000,29.75,29.75,29.75,29.75,0.0
20130222000000,30.25,30.25,30.25,30.25,0.0
20130223000000,29.8,29.8,29.8,29.8,0.0
20130224000000,29.89,29.89,29.89,29.89,0.0
20130225000000,30.4,30.4,30.4,30.4,0.0
20130226000000,31.1,31.1,31.1,31.1,0.0
20130227000000,30.9,30.9,30.9,30.9,0.0
20130228000000,33.38,33.38,33.38,33.38,0.0
20130301000000,34.5,34.5,34.5,34.5,0.0
20130302000000,34.25,34.25,34.25,34.25,0.0
20130303000000,34.5,34.5,34.5,34.5,0.0
20130304000000,36.15,36.15,36.15,36.15,0.0
20130305000000,40.33,40.33,40.33,40.33,0.0
20130306000000,41.02,41.02,41.02,41.02,0.0
20130307000000,42.0,42.0,42.0,42.0,0.0
20130308000000,44.18,44.18,44.18,44.18,0.0
20130309000000,46.85,46.85,46.85,46.85,0.0
20130310000000,46.0,46.0,46.0,46.0,0.0
